transaction_id,customer_id,date,product_name,category,price_chf
T00001,C2550,2024-07-25,Coque protection,Téléphonie,993.04
T00001,C2550,2024-07-25,Adaptateur Jack,Audio,560.92
T00001,C2550,2024-07-25,Disque SSD externe,Informatique,817.71
T00002,C7081,2024-06-16,Webcam HD,Informatique,885.61
T00002,C7081,2024-06-16,Casque Bluetooth,Informatique,616.42
T00003,C4856,2024-12-29,Cartouche toner,Bureau,494.55
T00003,C4856,2024-12-29,"Housse laptop 15""",Accessoires,834.99
T00004,C3094,2024-10-17,Imprimante laser,Bureau,1137.48
T00004,C3094,2024-10-17,Cartouche toner,Bureau,229.77
T00004,C3094,2024-10-17,Papier A4 500f,Bureau,185.52
T00005,C9559,2024-05-25,Câble Audio optique,Audio,680.26
T00005,C9559,2024-05-25,Lecteur carte SD,Accessoires,886.46
T00006,C6674,2024-10-30,"Laptop Pro 15""",Informatique,968.51
T00006,C6674,2024-10-30,Hub USB-C,Informatique,1280.7
T00006,C6674,2024-10-30,Clavier mécanique,Informatique,869.98
T00006,C6674,2024-10-30,Sac à dos PC,Accessoires,325.52
T00006,C6674,2024-10-30,Support laptop,Bureau,933.61
T00006,C6674,2024-10-30,Souris sans fil,Informatique,780.69
T00007,C2395,2024-04-13,Câble Audio optique,Audio,1107.07
T00008,C1452,2024-04-21,Lecteur carte SD,Accessoires,1249.99
T00009,C3186,2024-03-12,"Housse laptop 15""",Accessoires,840.81
T00009,C3186,2024-03-12,"Écran 27"" 4K",Informatique,948.82
T00010,C2459,2024-09-09,"Écran 27"" 4K",Informatique,1268.04
T00010,C2459,2024-09-09,Lampe de bureau LED,Bureau,436.87
T00010,C2459,2024-09-09,Souris sans fil,Informatique,162.86
T00011,C6196,2024-11-17,Hub USB-C,Informatique,1268.69
T00011,C6196,2024-11-17,Clavier mécanique,Informatique,912.55
T00012,C3788,2024-05-04,Adaptateur Jack,Audio,224.29
T00012,C3788,2024-05-04,Chargeur rapide,Téléphonie,919.21
T00013,C8702,2024-03-19,Webcam HD,Informatique,374.65
T00013,C8702,2024-03-19,Chargeur rapide,Téléphonie,317.08
T00013,C8702,2024-03-19,Câble USB-C,Téléphonie,1138.02
T00014,C4925,2024-09-20,Disque SSD externe,Informatique,823.28
T00014,C4925,2024-09-20,Câble USB-C,Téléphonie,619.62
T00015,C9172,2024-09-07,Sac à dos PC,Accessoires,545.82
T00016,C4796,2024-10-02,Chargeur rapide,Téléphonie,436.08
T00016,C4796,2024-10-02,Câble USB-C,Téléphonie,1119.19
T00017,C7370,2024-05-02,Clavier mécanique,Informatique,1040.64
T00018,C5860,2024-10-27,Hub USB-C,Informatique,438.75
T00018,C5860,2024-10-27,"Housse laptop 15""",Accessoires,1081.68
T00018,C5860,2024-10-27,Laptop Ultrabook,Informatique,363.85
T00018,C5860,2024-10-27,Souris sans fil,Informatique,713.88
T00019,C1106,2024-10-26,Casque Bluetooth,Informatique,420.06
T00020,C6278,2024-09-18,Tapis de souris XL,Bureau,177.18
T00021,C5250,2024-07-20,Disque SSD externe,Informatique,1278.59
T00021,C5250,2024-07-20,Lecteur carte SD,Accessoires,35.56
T00022,C6088,2024-03-25,Support laptop,Bureau,1203.79
T00022,C6088,2024-03-25,"Laptop Pro 15""",Informatique,1032.17
T00023,C3433,2024-12-19,Clavier mécanique,Informatique,313.67
T00023,C3433,2024-12-19,Disque SSD externe,Informatique,1163.03
T00024,C7858,2024-08-25,Protection écran,Téléphonie,284.56
T00025,C6644,2024-03-21,Coque protection,Téléphonie,886.63
T00025,C6644,2024-03-21,Câble Audio optique,Audio,872.41
T00026,C8493,2024-11-16,Multiprise USB,Accessoires,123.9
T00027,C9894,2024-08-23,Clavier sans fil,Informatique,1197.58
T00027,C9894,2024-08-23,Lampe de bureau LED,Bureau,79.51
T00028,C4291,2024-04-03,Câble HDMI 2.1,Accessoires,798.28
T00028,C4291,2024-04-03,"Écran 27"" 4K",Informatique,1014.23
T00028,C4291,2024-04-03,Tapis de souris XL,Bureau,936.81
T00028,C4291,2024-04-03,Support laptop,Bureau,650.29
T00028,C4291,2024-04-03,Clavier sans fil,Informatique,63.03
T00029,C8472,2024-04-25,Multiprise USB,Accessoires,1080.09
T00030,C9539,2024-01-01,Casque HiFi,Audio,764.01
T00030,C9539,2024-01-01,Imprimante laser,Bureau,1295.16
T00031,C2351,2024-07-01,Adaptateur Jack,Audio,561.47
T00032,C4827,2024-01-23,Hub USB-C,Informatique,807.97
T00032,C4827,2024-01-23,Câble Audio optique,Audio,195.13
T00033,C8434,2024-09-23,Webcam HD,Informatique,418.02
T00033,C8434,2024-09-23,"Housse laptop 15""",Accessoires,882.87
T00034,C8778,2024-02-22,Protection écran,Téléphonie,1018.64
